NUMERO,NURAND,NOMBRE,TEXTO,@PRIMERA,@EXTRA 1,@EXTRA 2,@EXTRA 3,@DIBUJOS
58,91,EbVs(RsAs)-X-EbCnt,Eme de espuma blanda con forma de vaso y con textura áspera aplicada con resina. Sin maza. Apoyado en base continua de espuma blanda.,E:\MMMMMMMM\PRIMERAS\emes58.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes271.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes273.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes274.jpg,E:\MMMMMMMM\DIBUJOS\58.png
59,15,PvMlLi-PvCyLi-MdPd,Eme de pvc con forma de media luna y con textura lisa. Maza de pvc con forma de cilindro y con textura lisa. Apoyado en pedestal de madera.,E:\MMMMMMMM\PRIMERAS\emes59.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes278.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes277.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes280.jpg,E:\MMMMMMMM\DIBUJOS\59.png
60,45,CtCc(Ys+HiPn)-X-EbPd,Eme de cartón con forma cóncava y con textura punzante aplicada con yeso y hierro. Sin maza. Apoyado en pedestal de espuma blanda.,E:\MMMMMMMM\PRIMERAS\emes60.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes287.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes282.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes285.jpg,E:\MMMMMMMM\DIBUJOS\60.png
61,14,MdMl(HiPn)-MdCxLi-MdCnt,Eme de madera con forma de media luna y con textura punzante aplicada con hierro. Maza de madera con forma convexa y con textura lisa. Apoyado en base continua de madera.,E:\MMMMMMMM\PRIMERAS\emes61.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes291.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes289.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes292.jpg,E:\MMMMMMMM\DIBUJOS\61.png
62,78,PxVsPo-PxGrtPo-Px4Do,Eme de porex con forma de vaso y con textura porosa. Maza de porex con forma de garrote y con textura porosa. Apoyado en 4 patas en dolmen de porex.,E:\MMMMMMMM\PRIMERAS\emes62.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes296.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes299.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes298.jpg,E:\MMMMMMMM\DIBUJOS\62.png
63,35,AlPlnLi-AlCyEt-Al3Fs,Eme de aluminio con forma plana y con textura lisa. Maza de aluminio con forma de cilindro y con textura estriada. Apoyado en 3 patas fasciculadas de aluminio.,E:\MMMMMMMM\PRIMERAS\emes63.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes303.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes304.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes301.jpg,E:\MMMMMMMM\DIBUJOS\63.png
64,8,Tl+RsVsRg-X-Tl+RsCnt,Eme de tela y resina con forma de vaso y con textura rugosa. Sin maza. Apoyado en base continua de tela y resina.,E:\MMMMMMMM\PRIMERAS\emes64.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes307.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes309.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes310.jpg,E:\MMMMMMMM\DIBUJOS\64.png
65,24,GmAgEt-MdPaLi-MdPd,Eme de goma con forma de agujero y con textura estriada. Maza de madera con forma de palo y con textura lisa. Apoyado en pedestal de madera.,E:\MMMMMMMM\PRIMERAS\emes65.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes312.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes314.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes317.jpg,E:\MMMMMMMM\DIBUJOS\65.gif
66,40,PvMlLi-X-AlCz,Eme de pvc con forma de media luna y con textura lisa. Sin maza. Apoyado en cruz de aluminio.,E:\MMMMMMMM\PRIMERAS\emes66.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes322.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes321.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes320.jpg,E:\MMMMMMMM\DIBUJOS\66.gif
67,106,HiCcPo-EuGrtLi-EuPd,Eme de hierro con forma cóncava y con textura porosa. Maza de espuma poliuretano con forma de garrote y con textura lisa. Apoyado en pedestal de espuma poliuretano.,E:\MMMMMMMM\PRIMERAS\emes67.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes326.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes328.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes330.jpg,E:\MMMMMMMM\DIBUJOS\67.png
68,13,CtCcRg-X-CtPd,Eme de cartón con forma cóncava y con textura rugosa. Sin maza. Apoyado en pedestal de cartón.,E:\MMMMMMMM\PRIMERAS\emes68.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes331.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes334.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes332.jpg,E:\MMMMMMMM\DIBUJOS\68.png
69,64,LdPlnRg-MdMrLi-Ld2Pd,Eme de ladrillo con forma plana y con textura rugosa. Maza de madera con forma de martillo y con textura lisa. Apoyado en 2 pedestales de ladrillo.,E:\MMMMMMMM\PRIMERAS\emes69.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes338.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes342.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes343.jpg,E:\MMMMMMMM\DIBUJOS\69.png
70,33,PvVsLi-PvGrtLi-PvPd,Eme de pvc con forma de vaso y con textura lisa. Maza de pvc con forma de garrote y con textura lisa. Apoyado en pedestal de pvc.,E:\MMMMMMMM\PRIMERAS\emes70.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes344.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes347.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes346.jpg,E:\MMMMMMMM\DIBUJOS\70.png
71,70,Eb+RsAs-X-Sb,Eme de espuma blanda y resina con textura áspera. Sin maza. Apoyado directamente en el suelo.,E:\MMMMMMMM\PRIMERAS\emes71.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes351.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes350.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes354.jpg,E:\MMMMMMMM\DIBUJOS\71.png
72,76,TcPln(EsLi)-TcEsfLi-Tc2Do,Eme de terracota con forma plana y con textura lisa aplicada con esmalte. Maza de terracota con forma de esfera y con textura lisa. Apoyado en 2 patas en dolmen de terracota.,E:\MMMMMMMM\PRIMERAS\emes72.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes357.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes358.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes360.jpg,E:\MMMMMMMM\DIBUJOS\72.png
73,41,HiMd(SiAp)-HiCy-HiPd,Eme de hierro con forma media y con textura ampollada aplicada con silicona. Maza de hierro con forma de cilindro. Apoyado en pedestal de hierro.,E:\MMMMMMMM\PRIMERAS\emes73.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes364.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes363.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes366.jpg,E:\MMMMMMMM\DIBUJOS\73.png
74,50,MdVs(HiPn)-X-MdCz,Eme de madera con forma de vaso y con textura punzante aplicada con hierro. Sin maza. Apoyado en cruz de madera.,E:\MMMMMMMM\PRIMERAS\emes74.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes369.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes368.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes370.jpg,E:\MMMMMMMM\DIBUJOS\74.gif
75,32,TcDn(EsLi)-TcDn(EsLi)-Cnt,Eme de terracota con forma dentada y con textura lisa aplicada con esmalte. Maza de terracota con forma dentada y con textura lisa aplicada con esmalte. Apoyado en base continua de terracota.,E:\MMMMMMMM\PRIMERAS\emes75.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes373.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes377.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes375.jpg,E:\MMMMMMMM\DIBUJOS\75.gif
76,73,HiVjLi-HiPaLi-Sb,Eme de hierro con forma de vasija y con textura lisa. Maza de hierro con forma de palo y con textura lisa. Apoyado directamente en el suelo.,E:\MMMMMMMM\PRIMERAS\emes76.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes379.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes380.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes381.jpg,E:\MMMMMMMM\DIBUJOS\76.png
77,56,Et+CmPlnRg-X-Cnt,Eme de esparto y cemento con forma plana y con textura rugosa. Sin maza. Apoyado en base continua de esparto y cemento.,E:\MMMMMMMM\PRIMERAS\emes77.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes383.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes384.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes385.jpg,E:\MMMMMMMM\DIBUJOS\77.png
78,9,EpHdPo-HiPaLi-Hi4Rd,Eme de esponja con forma de hendidura y con textura porosa. Maza de hierro con forma de palo y con textura lisa. Apoyado en 4 patas radiales de hierro.,E:\MMMMMMMM\PRIMERAS\emes78.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes388.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes389.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes390.jpg,E:\MMMMMMMM\DIBUJOS\78.png
79,107,MdCy(HiPn)-MdCy(HiPn)-Cnt,Eme de madera con forma de cilindro y con textura punzante aplicada con hierro. Maza de madera con forma de cilindro y con textura punzante aplicada con hierro. Apoyado en base continua de madera.,E:\MMMMMMMM\PRIMERAS\emes79.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes394.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes396.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes397.jpg,E:\MMMMMMMM\DIBUJOS\79.png
80,66,TcCnAs-TcDiPo-Cnt,Eme de terracota con forma de canal y con textura áspera. Maza de terracota con forma de disco y con textura porosa. Apoyado en base continua de terracota.,E:\MMMMMMMM\PRIMERAS\emes80.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes399.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes401.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes398.jpg,E:\MMMMMMMM\DIBUJOS\80.png
81,1,HiPln(SiAp)-X-LdPod,Eme de hierro con forma plana y con textura ampollada aplicada con silicona. Sin maza. Apoyado en pedestal de ladrillo.,E:\MMMMMMMM\PRIMERAS\emes81.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes407.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes404.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes403.jpg,E:\MMMMMMMM\DIBUJOS\81.png
82,77,PvAgLi-X-Pv3Rd,Eme de pvc con forma de agujero y con textura lisa. Sin maza. Apoyado en 3 patas radiales de pvc.,E:\MMMMMMMM\PRIMERAS\emes82.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes412.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes411.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes410.jpg,E:\MMMMMMMM\DIBUJOS\82.png
83,18,EoPlnLi-TjLi-Md4Do,Eme de espejo con forma plana y con textura lisa. Maza de tarjeta la caixa con forma de tarjeta y con textura lisa. Apoyado en 4 patas en dolmen de madera.,E:\MMMMMMMM\PRIMERAS\emes83.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes419.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes415.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes416.jpg,E:\MMMMMMMM\DIBUJOS\83.png
84,2,HiCcLi-HiGrtGr-Hi9Fs,Eme de hierro con forma cóncava y con textura lisa. Maza de hierro con forma de garrote y con textura rugosa. Apoyado en 9 patas fasciculadas de hierro.,E:\MMMMMMMM\PRIMERAS\emes84.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes425.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes421.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes423.jpg,E:\MMMMMMMM\DIBUJOS\84.png
85,49,AlMlLi-MdCyLi-Md4Fs,Eme de aluminio con forma de media luna y con textura lisa. Maza de madera con forma de cilindro y con textura lisa. Apoyado en 4 patas fasciculadas de madera.,E:\MMMMMMMM\PRIMERAS\emes85.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes433.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes429.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes430.jpg,E:\MMMMMMMM\DIBUJOS\85.gif
86,39,TcCcPo-TcEsfPo-Cnt,Eme de terracota con forma cóncava y con textura porosa. Maza de terracota con forma de esfera y con textura porosa. Apoyado en base continua de terracota.,E:\MMMMMMMM\PRIMERAS\emes86.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes438.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes439.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes436.jpg,E:\MMMMMMMM\DIBUJOS\86.gif
87,27,CmAg(PxGr)-X-Cm3Rd,Eme de cemento con forma de agujero y con textura grumosa aplicada con porex. Sin maza. Apoyado en 3 patas radiales de cemento.,E:\MMMMMMMM\PRIMERAS\emes87.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes440.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes441.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes437.jpg,E:\MMMMMMMM\DIBUJOS\87.png
88,12,HiCnLi-HiDiLi-Hi2Fs,Eme de hierro con forma de canal y con textura lisa. Maza de hierro con forma de disco y con textura lisa. Apoyado en 2 patas fasciculadas de hierro.,E:\MMMMMMMM\PRIMERAS\emes88.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes442.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes444.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes443.jpg,E:\MMMMMMMM\DIBUJOS\88.gif
89,80,MdMlLi-MdCy(HiGr)-Cnt,Eme de madera con forma de media luna y con textura lisa. Maza de madera con forma de cilindro y con textura grumosa aplicada con hierro. Apoyado en base continua de madera.,E:\MMMMMMMM\PRIMERAS\emes89.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes452.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes449.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes453.jpg,E:\MMMMMMMM\DIBUJOS\89.gif
90,54,TcVsPo-TcGrt(EsLi)-Cnt,Eme de terracota con forma de vaso y con textura porosa. Maza de terracota con forma de garrote y con textura lisa aplicada con esmalte. Apoyado en base continua de terracota.,E:\MMMMMMMM\PRIMERAS\emes90.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes458.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes454.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes456.jpg,E:\MMMMMMMM\DIBUJOS\90.gif
91,10,CtPlnRg-CtPaRg-HiLm,Eme de cartón con forma plana y con textura rugosa. Maza de cartón con forma de palo y con textura rugosa. Apoyado en lámina de hierro.,E:\MMMMMMMM\PRIMERAS\emes91.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes465.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes461.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes460.jpg,E:\MMMMMMMM\DIBUJOS\91.gif
92,108,TcCcAs-AlCyLi-AlPd,Eme de terracota con forma cóncava y con textura áspera. Maza de aluminio con forma de cilindro y con textura lisa. Apoyado en pedestal de aluminio.,E:\MMMMMMMM\PRIMERAS\emes92.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes466.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes467.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes468.jpg,E:\MMMMMMMM\DIBUJOS\92.gif
93,97,BdPlnLi-EuAm-EuPd,Eme de baldosa con forma plana y con textura lisa. Maza de espuma poliuretano con forma amorfa. Apoyado en pedestal de espuma poliuretano.,E:\MMMMMMMM\PRIMERAS\emes93.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes473.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes472.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes469.jpg,E:\MMMMMMMM\DIBUJOS\93.gif
94,103,TcMlRg-X-Hi6Do,Eme de terracota con forma de media luna y con textura rugosa. Sin maza. Apoyado en 6 patas en dolmen de hierro.,E:\MMMMMMMM\PRIMERAS\emes94.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes477.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes476.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes478.jpg,E:\MMMMMMMM\DIBUJOS\94.png
95,65,AlMlLi-AlMrLi-MdDo,Eme de aluminio con forma de media luna y con textura lisa. Maza de aluminio con forma de martillo y con textura lisa. Apoyado en dolmen de madera.,E:\MMMMMMMM\PRIMERAS\emes95.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes481.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes479.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes483.jpg,E:\MMMMMMMM\DIBUJOS\95.gif
96,21,Eu+Hi(Ap)-X-Hi4Do,Eme de espuma poliuretano y hierro con textura ampollada. Sin maza. Apoyado en 4 patas en dolmen de hierro.,E:\MMMMMMMM\PRIMERAS\emes96.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes484.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes485.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes485a.jpg,E:\MMMMMMMM\DIBUJOS\96.png
97,44,HiCc(LjAs)-X-PvAr,Eme de hierro con forma cóncava y con textura áspera aplicada con lija. Sin maza. Apoyado en arco de pvc.,E:\MMMMMMMM\PRIMERAS\emes97.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes489.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes486.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes488.jpg,E:\MMMMMMMM\DIBUJOS\97.png
98,72,LdCnPo-TcDiPo-Al2Do,Eme de ladrillo con forma de canal y con textura porosa. Maza de terracota con forma de disco y con textura porosa. Apoyado en 2 patas en dolmen de aluminio.,E:\MMMMMMMM\PRIMERAS\emes98.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes494.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes493.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes495.jpg,E:\MMMMMMMM\DIBUJOS\98.png
99,42,Eu(HiPn)-X-MdPd,Eme de espuma poliuretano con textura punzante aplicada con hierro. Sin maza. Apoyado en pedestal de madera.,E:\MMMMMMMM\PRIMERAS\emes99.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes498.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes497.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes496.jpg,E:\MMMMMMMM\DIBUJOS\99.png
100,7,TcCxRg-X-Al2Fs,Eme de terracota con forma convexa y con textura rugosa. Sin maza. Apoyado en 2 patas fasciculadas de aluminio.,E:\MMMMMMMM\PRIMERAS\emes100.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes500.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes501.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes502.jpg,E:\MMMMMMMM\DIBUJOS\100.gif
101,26,HiCyLi-AlTbLi-Hi4Do,Eme de hierro con forma de cilindro y con textura lisa. Maza de aluminio con forma de tubo y con textura lisa. Apoyado en 4 patas en dolmen de hierro.,E:\MMMMMMMM\PRIMERAS\emes101.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes507.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes503.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes504.jpg,E:\MMMMMMMM\DIBUJOS\101.png
102,28,Tc4Vs(EsLi)-X-Sb,Eme de terracota con 4 vasos y con textura lisa aplicada con esmalte. Sin maza. Apoyado directamente en el suelo.,E:\MMMMMMMM\PRIMERAS\emes102.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes511.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes512.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes513.jpg,E:\MMMMMMMM\DIBUJOS\102.png
103,102,EoPlnLi-TxEtmPn-MdPd,Eme de espejo con forma plana y con textura lisa. Maza de tarjeta la caixa con forma estrellada y con textura punzante. Apoyado en pedestal de madera.,E:\MMMMMMMM\PRIMERAS\emes104.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes514.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes516.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes515.jpg,E:\MMMMMMMM\DIBUJOS\104.png
104,90,HiCcLi-X-HiPd,Eme de hierro con forma cóncava y con textura lisa. Sin maza. Apoyado en pedestal de hierro.,E:\MMMMMMMM\PRIMERAS\emes105.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes520.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes518.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes521.jpg,E:\MMMMMMMM\DIBUJOS\105.png
105,87,HiPlnPn-X-YsPd,Eme de hierro con forma plana y con textura punzante. Sin maza. Apoyado en pedestal de yeso.,E:\MMMMMMMM\PRIMERAS\emes106.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes526.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes528.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes527.jpg,E:\MMMMMMMM\DIBUJOS\106.png
106,37,TcCnPo-TcDiPo-Tc7Fs,Eme de terracota con forma de canal y con textura porosa. Maza de terracota con forma de disco y con textura porosa. Apoyado en 7 patas fasciculadas de terracota.,E:\MMMMMMMM\PRIMERAS\emes107.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes529.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes530.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes531.jpg,E:\MMMMMMMM\DIBUJOS\107.png
107,57,AlCc(AlAp)-AlDiRg-AlAr,Eme de aluminio con forma cóncava y con textura ampollada aplicada con aluminio. Maza de aluminio con forma de disco y con textura rugosa. Apoyado en arco de aluminio.,E:\MMMMMMMM\PRIMERAS\emes108.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes537.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes535.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes536.jpg,E:\MMMMMMMM\DIBUJOS\108.png
108,96,TcToRg-X-Tc3Rd,Eme de terracota con forma de toroide y con textura rugosa. Sin maza. Apoyado en 3 patas radiales de terracota.,E:\MMMMMMMM\PRIMERAS\emes109.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes538.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes539.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes540.jpg,E:\MMMMMMMM\DIBUJOS\109.png
109,94,TcMl(EsLi)-TcCyPo-MdPd,Eme de terracota con forma de media luna y con textura lisa aplicada con esmalte. Maza de terracota con forma de cilindro y con textura porosa. Apoyado en pedestal de madera.,E:\MMMMMMMM\PRIMERAS\emes110.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes543.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes545.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes542.jpg,E:\MMMMMMMM\DIBUJOS\110.png
